Country,Date,Round,Coordinates,Region
Mexico,2022-10-16,1,"23.351081848144531,-100.99623107910156","San Luis Potosí"
Bolivia,2022-10-16,2,"-17.230487823486328,-67.917617797851562","Departamento de La Paz"
Rwanda,2022-10-16,3,"-1.9341826438903809,30.099828720092773","Kigali City"
Latvia,2022-10-16,4,"56.938106536865234,24.198749542236328",Riga
Laos,2022-10-16,5,"19.890190124511719,102.13204956054688","Luang Prabang Province"
Colombia,2022-10-17,1,"9.31767463684082,-75.3975601196289",Sucre
Brazil,2022-10-17,2,"-15.839024543762207,-47.87933349609375","Distrito Federal"
Austria,2022-10-17,3,"47.284763336181641,11.413394927978516",Tirol
Colombia,2022-10-17,4,"4.7337279319763184,-74.078727722167969",Bogotá
Indonesia,2022-10-17,5,"-6.6703648567199707,111.08063507080078","Jawa Tengah"
Ecuador,2022-10-18,1,"1.174005389213562,-78.752891540527344",Esmeraldas
Switzerland,2022-10-18,2,"47.438396453857422,8.4699306488037109",Zürich
Montenegro,2022-10-18,3,"42.311759948730469,18.769437789916992","Opština Kotor"
"United Kingdom",2022-10-18,4,"55.819011688232422,-4.167473316192627","South Lanarkshire"
"New Zealand",2022-10-18,5,"-36.856735229492188,174.85221862792969",Auckland
Laos,2022-10-19,1,"17.966156005859375,102.61675262451172","Vientiane Prefecture"
Kenya,2022-10-19,2,"-3.9672145843505859,39.739414215087891","Mombasa County"
Türkiye,2022-10-19,3,"36.720409393310547,37.100337982177734",Kilis
Nigeria,2022-10-19,4,"11.652620315551758,7.482306957244873",Katsina
Colombia,2022-10-19,5,"8.7147235870361328,-75.806411743164062",Córdoba
Ecuador,2022-10-20,1,"-0.30464375019073486,-76.859657287597656",Orellana
Kenya,2022-10-20,2,"-3.8075027465820312,39.8122673034668","Kilifi County"
Canada,2022-10-20,3,"49.225894927978516,-123.16382598876953","British Columbia"
Eswatini,2022-10-20,4,"-26.527076721191406,31.297197341918945",Manzini
Chile,2022-10-20,5,"-19.685108184814453,-69.915374755859375",Tarapacá
Monaco,2022-10-21,1,"43.7291145324707,7.422095775604248",Monaco
Colombia,2022-10-21,2,"11.376620292663574,-72.233749389648438","La Guajira"
Hungary,2022-10-21,3,"47.634059906005859,17.347377777099609",Gyor-Moson-Sopron
China,2022-10-21,4,"30.740942001342773,104.13922882080078",Sichuan
Colombia,2022-10-21,5,"2.9358048439025879,-75.281379699707031",Huila
Thailand,2022-10-22,1,"18.0445556640625,97.931243896484375","Mae Hong Son"
Peru,2022-10-22,2,"-12.599915504455566,-69.221054077148438","Madre de Dios"
Australia,2022-10-22,3,"-31.907987594604492,115.95245361328125","Western Australia"
"Puerto Rico",2022-10-22,4,"18.371191024780273,-66.060531616210938","San Juan"
Greece,2022-10-22,5,"38.241352081298828,21.743650436401367","Western Greece"
Mexico,2022-10-23,1,"19.879682540893555,-100.6954345703125",Michoacán
Kenya,2022-10-23,2,"-2.3652517795562744,37.892616271972656","Makueni County"
Belgium,2022-10-23,3,"51.172286987304688,4.3890166282653809",Vlaanderen
Canada,2022-10-23,4,"46.140884399414062,-60.282157897949219","Nova Scotia"
Indonesia,2022-10-23,5,"-8.4064397811889648,118.71208953857422","West Nusa Tenggara"
India,2022-10-24,1,"28.686979293823242,76.981399536132812",Delhi
Ecuador,2022-10-24,2,"1.0637881755828857,-79.0445785522461",Esmeraldas
Hungary,2022-10-24,3,"47.240924835205078,19.616250991821289","Pest County"
Taiwan,2022-10-24,4,"23.201087951660156,120.24018096923828","Tainan City"
"New Zealand",2022-10-24,5,"-36.858016967773438,174.60029602050781",Auckland
Mongolia,2022-10-25,1,"47.805427551269531,106.63634490966797",Ulaanbaatar
Ecuador,2022-10-25,2,"-0.20181229710578918,-78.48077392578125",Pichincha
Rwanda,2022-10-25,3,"-1.9327830076217651,30.153757095336914","Kigali City"
Austria,2022-10-25,4,"48.206581115722656,16.375247955322266",Wien
Brazil,2022-10-25,5,"-4.5611786842346191,-46.896987915039062",Maranhão
Greece,2022-10-26,1,"38.290000915527344,23.298303604125977","Central Greece"
Madagascar,2022-10-26,2,"-22.0810604095459,46.774551391601562","Matsiatra Ambony"
"South Africa",2022-10-26,3,"-24.519546508789062,29.163173675537109",Limpopo
Colombia,2022-10-26,4,"5.6049203872680664,-73.930610656738281",Boyacá
Thailand,2022-10-26,5,"19.596811294555664,100.97457885742188",Nan
Hungary,2022-10-27,1,"46.133831024169922,19.198860168457031",Bács-Kiskun
Bolivia,2022-10-27,2,"-16.498691558837891,-68.133987426757812","Departamento de La Paz"
India,2022-10-27,3,"28.531911849975586,77.153335571289062",Delhi
Finland,2022-10-27,4,"62.647243499755859,29.675596237182617",Pohjois-Karjala
Mongolia,2022-10-27,5,"46.149345397949219,113.38245391845703",Sükhbaatar
Uruguay,2022-10-28,1,"-32.7326774597168,-54.208328247070312","Departamento de Cerro Largo"
Türkiye,2022-10-28,2,"37.034965515136719,35.267936706542969",Adana
Nigeria,2022-10-28,3,"7.1943612098693848,5.6221494674682617",Ondo
Guatemala,2022-10-28,4,"14.612717628479004,-90.555168151855469",Guatemala
Thailand,2022-10-28,5,"12.773011207580566,101.27890777587891","Chang Wat Rayong"
Mexico,2022-10-29,1,"17.883562088012695,-99.578056335449219",Guerrero
Serbia,2022-10-29,2,"42.561431884765625,21.897712707519531","Pčinjski Okrug"
Brazil,2022-10-29,3,"-23.556684494018555,-46.653923034667969","São Paulo"
Israel,2022-10-29,4,"31.787822723388672,35.258026123046875","Jerusalem District"
Malaysia,2022-10-29,5,"5.5767521858215332,100.87929534912109",Kedah
Greenland,2022-10-30,1,"65.812530517578125,-37.885604858398438",Sermersooq
Russia,2022-10-30,2,"49.781322479248047,129.94009399414062","Amurskaya oblast'"
"South Korea",2022-10-30,3,"37.899173736572266,126.99906921386719",Gyeonggi-do
Luxembourg,2022-10-30,4,"49.716537475585938,6.0275530815124512",Mersch
India,2022-10-30,5,"28.755935668945312,77.132820129394531",Delhi
Jordan,2022-10-31,1,"30.340831756591797,35.511760711669922","Ma'an Governorate"
Estonia,2022-10-31,2,"58.296062469482422,24.13286018371582","Pärnu maakond"
Hungary,2022-10-31,3,"47.806064605712891,20.562986373901367",Borsod-Abaúj-Zemplén
Indonesia,2022-10-31,4,"1.1660994291305542,104.00543975830078","Kepulauan Riau"
Bolivia,2022-10-31,5,"-17.198028564453125,-64.537513732910156","Departamento de Cochabamba"
Uruguay,2022-11-01,1,"-31.278837203979492,-55.291965484619141","Departamento de Rivera"
Israel,2022-11-01,2,"32.298625946044922,34.9095458984375","Center District"
Argentina,2022-11-01,3,"-45.654949188232422,-67.601799011230469",Chubut
Slovenia,2022-11-01,4,"46.134403228759766,14.606729507446289",Domžale
Taiwan,2022-11-01,5,"25.083362579345703,121.68992614746094","Keelung City"
Albania,2022-11-02,1,"39.885543823242188,20.057882308959961","Qarku i Vlorës"
"United States",2022-11-02,2,"37.723567962646484,-122.17393493652344",California
Jordan,2022-11-02,3,"29.561489105224609,35.016513824462891","Aqaba Governorate"
Israel,2022-11-02,4,"31.801233291625977,34.739738464355469","South District"
Spain,2022-11-02,5,"41.381763458251953,2.1892321109771729",Catalunya
Colombia,2022-11-03,1,"4.9093766212463379,-74.422042846679688",Cundinamarca
Chile,2022-11-03,2,"-38.252735137939453,-72.681571960449219",Araucanía
"South Korea",2022-11-03,3,"33.492130279541016,126.48299407958984",Jeju-do
Albania,2022-11-03,4,"40.088279724121094,20.140207290649414","Gjirokastër County"
Lithuania,2022-11-03,5,"55.260292053222656,22.277500152587891","Tauragės apskritis"
"South Africa",2022-11-04,1,"-29.29371452331543,27.440786361694336","Free State"
Ukraine,2022-11-04,2,"51.228675842285156,30.955957412719727","Chernihivs'ka oblast"
"Christmas Island",2022-11-04,3,"-10.44482421875,105.67692565917969","Shire of Christmas Island"
Colombia,2022-11-04,4,"10.190032005310059,-74.065704345703125",Magdalena
Canada,2022-11-04,5,"45.079273223876953,-64.693359375","Nova Scotia"
Sweden,2022-11-05,1,"63.834999084472656,20.267444610595703","Västerbottens län"
Colombia,2022-11-05,2,"8.8710603713989258,-75.802330017089844",Córdoba
Peru,2022-11-05,3,"-12.123844146728516,-77.002212524414062","Provincia de Lima"
Thailand,2022-11-05,4,"19.3590145111084,98.438789367675781","Chang Wat Mae Hong Son"
Ghana,2022-11-05,5,"9.2198295593261719,-1.8581366539001465","Savannah Region"
Türkiye,2022-11-06,1,"36.354217529296875,29.331680297851562",Antalya
Palestine,2022-11-06,2,"32.185897827148438,35.540458679199219",Palestine
Argentina,2022-11-06,3,"-28.013914108276367,-65.546195983886719",Catamarca
Lesotho,2022-11-06,4,"-29.358142852783203,27.4963436126709",Maseru
Palestine,2022-11-06,5,"32.102005004882812,35.169223785400391",Palestine
Bolivia,2022-11-07,1,"-17.593908309936523,-62.146900177001953","Departamento de Santa Cruz"
Montenegro,2022-11-07,2,"42.455741882324219,19.261083602905273","Glavni grad Podgorica"
Finland,2022-11-07,3,"61.130149841308594,21.512548446655273",Satakunta
India,2022-11-07,4,"28.512039184570312,77.184417724609375",Delhi
Mexico,2022-11-07,5,"17.3659610748291,-94.901885986328125",Veracruz
Portugal,2022-11-08,1,"37.762676239013672,-25.727426528930664",Açores
Brazil,2022-11-08,2,"-21.991853713989258,-52.507072448730469","Mato Grosso do Sul"
Kyrgyzstan,2022-11-08,3,"40.523330688476562,72.810195922851562","Osh City"
Brazil,2022-11-08,4,"-1.0203040838241577,-46.635334014892578",Pará
Guatemala,2022-11-08,5,"15.469660758972168,-90.373031616210938","Alta Verapaz"
"Christmas Island",2022-11-09,1,"-10.482093811035156,105.65921783447266","Shire of Christmas Island"
Poland,2022-11-09,2,"52.534523010253906,19.7617244720459","Województwo mazowieckie"
Argentina,2022-11-09,3,"-37.195388793945312,-70.6649169921875",Neuquén
Singapore,2022-11-09,4,"1.3339428901672363,103.80011749267578",Singapore
Argentina,2022-11-09,5,"-31.445453643798828,-64.126899719238281",Córdoba
France,2022-11-10,1,"47.837669372558594,0.42976456880569458","Pays de la Loire"
Argentina,2022-11-10,2,"-33.44415283203125,-60.653339385986328","Santa Fe"
Colombia,2022-11-10,3,"3.4525971412658691,-76.497467041015625","Valle del Cauca"
Indonesia,2022-11-10,4,"-7.4752211570739746,112.35102844238281","East Java"
Denmark,2022-11-10,5,"57.053783416748047,9.9031858444213867","North Denmark Region"
"Sri Lanka",2022-11-11,1,"7.0342435836791992,79.958213806152344","Western Province"
Peru,2022-11-11,2,"-18.035606384277344,-70.254524230957031",Tacna
Portugal,2022-11-11,3,"37.780483245849609,-25.735261917114258",Açores
"United States",2022-11-11,4,"45.184852600097656,-93.393173217773438",Minnesota
Uruguay,2022-11-11,5,"-34.527141571044922,-56.055194854736328","Departamento de Canelones"
Pakistan,2022-11-12,1,"29.772739410400391,72.022834777832031",Punjab
Japan,2022-11-12,2,"35.563392639160156,139.39445495605469",Kanagawa
"Dominican Republic",2022-11-12,3,"18.472373962402344,-69.935104370117188","Distrito Nacional"
Belgium,2022-11-12,4,"49.893619537353516,5.0879459381103516","Région wallonne"
Slovenia,2022-11-12,5,"46.141963958740234,15.203978538513184",Laško
Germany,2022-11-13,1,"53.581230163574219,10.037337303161621",Hamburg
Luxembourg,2022-11-13,2,"49.6170654296875,6.1575169563293457",Luxembourg
Peru,2022-11-13,3,"-6.48881721496582,-76.3607177734375","San Martín"
Czechia,2022-11-13,4,"50.432159423828125,13.607944488525391","Ústecký kraj"
Taiwan,2022-11-13,5,"23.84144401550293,120.61389923095703","Changhua County"
Brazil,2022-11-14,1,"-30.000877380371094,-51.109287261962891","Rio Grande do Sul"
Laos,2022-11-14,2,"19.882204055786133,102.13529205322266","Luang Prabang Province"
Ecuador,2022-11-14,3,"-0.47081491351127625,-76.98455810546875",Orellana
Indonesia,2022-11-14,4,"-7.599003791809082,111.98754119873047","Jawa Timur"
Senegal,2022-11-14,5,"14.918150901794434,-17.121772766113281","Thiès Region"
"South Africa",2022-11-15,1,"-32.993698120117188,27.90467643737793","Eastern Cape"
Finland,2022-11-15,2,"60.924335479736328,25.972932815551758",Päijät-Häme
Israel,2022-11-15,3,"32.948150634765625,35.360347747802734","North District"
Bangladesh,2022-11-15,4,"23.75653076171875,88.660240173339844","Khulna Division"
Canada,2022-11-15,5,"49.832077026367188,-119.62146759033203","British Columbia"
Estonia,2022-11-16,1,"59.396835327148438,27.759407043457031","Ida-Viru maakond"
Peru,2022-11-16,2,"-6.9773330688476562,-76.4202880859375","San Martín"
India,2022-11-16,3,"28.760686874389648,77.168869018554688",Delhi
Guatemala,2022-11-16,4,"16.927408218383789,-89.899375915527344",Petén
Colombia,2022-11-16,5,"5.060309886932373,-73.775039672851562",Cundinamarca
Peru,2022-11-17,1,"-16.409076690673828,-71.540733337402344",Arequipa
Canada,2022-11-17,2,"43.648635864257812,-79.754234313964844",Ontario
Switzerland,2022-11-17,3,"47.363605499267578,8.9066734313964844",Zürich
"United Kingdom",2022-11-17,4,"52.0656623840332,1.1149009466171265",Suffolk
Indonesia,2022-11-17,5,"-1.8822377920150757,102.30034637451172",Jambi
Serbia,2022-11-18,1,"44.798358917236328,20.461040496826172","Grad Beograd"
Thailand,2022-11-18,2,"19.743499755859375,99.7039794921875","Chiang Rai"
Poland,2022-11-18,3,"50.025226593017578,19.811172485351562","Województwo małopolskie"
Canada,2022-11-18,4,"53.505474090576172,-113.58586120605469",Alberta
Canada,2022-11-18,5,"51.415317535400391,-104.56665802001953",Saskatchewan
Montenegro,2022-11-19,1,"42.441757202148438,19.247577667236328","Glavni grad Podgorica"
"North Macedonia",2022-11-19,2,"41.183002471923828,22.72313117980957","Municipality of Dojran"
Bhutan,2022-11-19,3,"27.438898086547852,90.224090576171875","Wangdue Phodrang"
Argentina,2022-11-19,4,"-36.3017692565918,-58.580768585205078","Provincia de Buenos Aires"
"New Zealand",2022-11-19,5,"-36.873920440673828,174.8126220703125",Auckland
Guatemala,2022-11-20,1,"14.373808860778809,-91.5531997680664",Suchitepéquez
Canada,2022-11-20,2,"45.583251953125,-62.315021514892578","Nova Scotia"
Slovakia,2022-11-20,3,"48.591274261474609,17.7512149810791","Trnavský kraj"
Australia,2022-11-20,4,"-31.875034332275391,115.91246032714844","Western Australia"
"New Zealand",2022-11-20,5,"-36.862041473388672,174.81794738769531",Auckland
Argentina,2022-11-21,1,"-23.73994255065918,-64.641929626464844",Jujuy
Colombia,2022-11-21,2,"8.76385498046875,-75.890716552734375",Córdoba
Kenya,2022-11-21,3,"0.35001614689826965,37.603855133056641","Meru County"
Bhutan,2022-11-21,4,"27.539058685302734,90.003631591796875","Wangdue Phodrang"
Denmark,2022-11-21,5,"56.158954620361328,10.191941261291504","Central Denmark Region"
Colombia,2022-11-22,1,"2.1341240406036377,-76.384597778320312",Huila
"Dominican Republic",2022-11-22,2,"19.454456329345703,-70.673416137695312",Santiago
Kenya,2022-11-22,3,"-1.2638407945632935,36.749919891357422","Nairobi County"
Rwanda,2022-11-22,4,"-1.9785451889038086,30.047094345092773","Kigali City"
Sweden,2022-11-22,5,"67.877372741699219,20.175813674926758","Norrbottens län"
Rwanda,2022-11-23,1,"-1.9181060791015625,30.076614379882812","Kigali City"
Chile,2022-11-23,2,"-19.872150421142578,-69.832290649414062",Tarapacá
Sweden,2022-11-23,3,"57.998542785644531,16.486785888671875","Kalmar län"
Bolivia,2022-11-23,4,"-17.370346069335938,-66.170463562011719","Departamento de Cochabamba"
India,2022-11-23,5,"18.543739318847656,73.8068618774414",Maharashtra
"Puerto Rico",2022-11-24,1,"18.282203674316406,-66.034683227539062",Caguas
Chile,2022-11-24,2,"-36.5925407409668,-72.101875305175781",Ñuble
"North Macedonia",2022-11-24,3,"41.779293060302734,20.867546081542969","Municipality of Gostivar"
Ireland,2022-11-24,4,"53.5885009765625,-6.1873774528503418","County Dublin"
Kyrgyzstan,2022-11-24,5,"40.9273567199707,72.998985290527344","Jalal-Abad Region"
Ecuador,2022-11-25,1,"-2.1159787178039551,-79.558364868164062",Guayas
China,2022-11-25,2,"39.921279907226562,116.43262481689453","Bei Jing Shi"
Japan,2022-11-25,3,"41.044803619384766,140.39530944824219",Aomori
Botswana,2022-11-25,4,"-21.1920108795166,27.471113204956055","Francistown City"
Croatia,2022-11-25,5,"44.678226470947266,15.942639350891113","Ličko-senjska županija"
Japan,2022-11-26,1,"35.609523773193359,139.28404235839844",Kanagawa
Croatia,2022-11-26,2,"43.384136199951172,17.244863510131836","Splitsko-dalmatinska županija"
Ecuador,2022-11-26,3,"-4.02370548248291,-79.212562561035156",Loja
Chile,2022-11-26,4,"-33.409286499023438,-70.543159484863281","Región Metropolitana"
Ukraine,2022-11-26,5,"49.839679718017578,23.975118637084961","L'vivs'ka oblast"
Colombia,2022-11-27,1,"10.423150062561035,-75.530479431152344",Bolívar
Slovakia,2022-11-27,2,"48.737827301025391,21.242168426513672","Košický kraj"
Bermuda,2022-11-27,3,"32.272762298583984,-64.7895278930664","Paget Parish"
Uruguay,2022-11-27,4,"-34.364501953125,-54.072261810302734","Departamento de Rocha"
Pakistan,2022-11-27,5,"31.585702896118164,74.374351501464844",Punjab
Albania,2022-11-28,1,"40.741664886474609,19.576478958129883","Qarku i Fierit"
Greece,2022-11-28,2,"40.721527099609375,22.917531967163086","Central Macedonia"
Türkiye,2022-11-28,3,"36.834190368652344,34.687908172607422",Mersin
Argentina,2022-11-28,4,"-37.574367523193359,-60.188846588134766","Provincia de Buenos Aires"
Switzerland,2022-11-28,5,"47.415409088134766,8.57042407989502",Zürich
Malta,2022-11-29,1,"35.939434051513672,14.40812873840332",Malta
Malaysia,2022-11-29,2,"5.3437695503234863,115.73552703857422",Sabah
Czechia,2022-11-29,3,"48.806980133056641,16.63520622253418","Jihomoravský kraj"
Uruguay,2022-11-29,4,"-33.131473541259766,-58.2984733581543","Departamento de Río Negro"
"South Africa",2022-11-29,5,"-33.816497802734375,18.53645133972168","Western Cape"
India,2022-11-30,1,"28.573368072509766,77.2059555053711",Delhi
"United Arab Emirates",2022-11-30,2,"25.222545623779297,55.339687347412109",Dubai
Botswana,2022-11-30,3,"-21.094186782836914,22.380300521850586","Ghanzi District"
Argentina,2022-11-30,4,"-44.801181793212891,-65.704765319824219",Chubut
Botswana,2022-11-30,5,"-24.647241592407227,25.891819000244141","Gaborone City"
"United Kingdom",2022-12-01,1,"57.636913299560547,-2.4624948501586914",Aberdeenshire
Brazil,2022-12-01,2,"-4.9811115264892578,-39.023818969726562",Ceará
Romania,2022-12-01,3,"47.0831413269043,21.887325286865234","Județul Bihor"
China,2022-12-01,4,"31.184324264526367,121.46491241455078","Shang Hai Shi"
"North Macedonia",2022-12-01,5,"42.052871704101562,21.382711410522461","Municipality of Čučer-Sandevo"
Mongolia,2022-12-02,1,"45.594890594482422,106.25402069091797",Dundgovi
Colombia,2022-12-02,2,"4.3461565971374512,-71.977958679199219",Meta
Philippines,2022-12-02,3,"9.31848430633545,123.27472686767578","Negros Oriental"
Australia,2022-12-02,4,"-34.974433898925781,139.29695129394531","South Australia"
Poland,2022-12-02,5,"53.01153564453125,22.304958343505859","Podlaskie Voivodeship"
Malaysia,2022-12-03,1,"5.2781949043273926,115.18141937255859","Wilayah Persekutuan Labuan"
Colombia,2022-12-03,2,"5.934849739074707,-75.856452941894531",Antioquia
Sweden,2022-12-03,3,"63.292743682861328,18.729606628417969","Västernorrlands län"
"United States",2022-12-03,4,"42.464759826660156,-71.300003051757812",Massachusetts
Bolivia,2022-12-03,5,"-17.752687454223633,-63.178493499755859","Departamento de Santa Cruz"
Colombia,2022-12-04,1,"11.170689582824707,-72.5663070678711","La Guajira"
Türkiye,2022-12-04,2,"36.930782318115234,30.769767761230469",Antalya
Greece,2022-12-04,3,"40.802558898925781,22.778738021850586","Central Macedonia"
Guatemala,2022-12-04,4,"14.640769004821777,-90.551383972167969",Guatemala
Philippines,2022-12-04,5,"16.433526992797852,120.56907653808594",Benguet
Colombia,2022-12-05,1,"9.5265045166015625,-73.902275085449219",Cesar
Argentina,2022-12-05,2,"-34.201358795166016,-65.328529357910156","San Luis"
Bangladesh,2022-12-05,3,"24.085317611694336,89.598526000976562","Rajshahi Division"
"New Zealand",2022-12-05,4,"-38.274341583251953,174.90864562988281","Waikato Region"
Serbia,2022-12-05,5,"45.930438995361328,20.065204620361328","Severnobanatski okrug"
Peru,2022-12-06,1,"-5.1908178329467773,-80.6164321899414",Piura
Philippines,2022-12-06,2,"14.642523765563965,121.03915405273438","Metropolitan Manila Second District"
Mexico,2022-12-06,3,"31.863458633422852,-112.85135650634766",Sonora
India,2022-12-06,4,"28.507204055786133,77.288192749023438",Delhi
Romania,2022-12-06,5,"44.458168029785156,26.076021194458008",București
Guatemala,2022-12-07,1,"17.026847839355469,-89.2323989868164",Petén
Eswatini,2022-12-07,2,"-26.573080062866211,30.980733871459961",Manzini
Mongolia,2022-12-07,3,"45.900463104248047,109.176513671875",Dornogovi
Guatemala,2022-12-07,4,"14.039925575256348,-89.916183471679688",Jutiapa
Albania,2022-12-07,5,"40.316326141357422,20.010723114013672","Gjirokastër County"
Bermuda,2022-12-08,1,"32.38043212890625,-64.668876647949219","St. George's Parish"
Peru,2022-12-08,2,"-15.309669494628906,-70.2311019897461",Puno
Ireland,2022-12-08,3,"53.922931671142578,-9.0513906478881836","County Mayo"
Cambodia,2022-12-08,4,"11.053025245666504,104.91156768798828","Takéo Province"
Colombia,2022-12-08,5,"4.7150301933288574,-74.050247192382812","Bogotá, D.C."
"New Zealand",2022-12-09,1,"-38.446578979492188,175.63223266601562","Waikato Region"
Canada,2022-12-09,2,"46.494979858398438,-80.954818725585938",Ontario
Monaco,2022-12-09,3,"43.737178802490234,7.4293885231018066",Monaco
Mexico,2022-12-09,4,"30.706342697143555,-112.19370269775391",Sonora
Bolivia,2022-12-09,5,"-17.948383331298828,-63.013629913330078","Departamento de Santa Cruz"
Ukraine,2022-12-10,1,"49.918685913085938,36.408359527587891","Kharkivs'ka oblast"
Nigeria,2022-12-10,2,"6.8662753105163574,3.6191623210906982","Ogun State"
Israel,2022-12-10,3,"29.566287994384766,34.958530426025391","South District"
Ecuador,2022-12-10,4,"-0.18603846430778503,-76.7230224609375",Sucumbíos
Sweden,2022-12-10,5,"67.851493835449219,20.224313735961914","Norrbottens län"
Bolivia,2022-12-11,1,"-18.469606399536133,-66.562019348144531","Departamento de Potosí"
Albania,2022-12-11,2,"40.522624969482422,20.703020095825195","Qarku i Korçës"
Philippines,2022-12-11,3,"14.704817771911621,121.01985168457031","Metropolitan Manila Second District"
Mexico,2022-12-11,4,"18.923923492431641,-104.00820159912109",Colima
Australia,2022-12-11,5,"-27.281351089477539,151.27609252929688",Queensland
Cambodia,2022-12-12,1,"11.082194328308105,105.79597473144531","Svay Rieng Province"
Latvia,2022-12-12,2,"56.509372711181641,27.336526870727539",Rēzekne
Romania,2022-12-12,3,"45.707473754882812,23.052715301513672","Județul Hunedoara"
Eswatini,2022-12-12,4,"-26.316505432128906,31.117805480957031","Hhohho Region"
Guatemala,2022-12-12,5,"16.198657989501953,-90.180000305175781",Petén
Russia,2022-12-13,1,"56.504566192626953,84.969764709472656","Tomskaya oblast'"
Jordan,2022-12-13,2,"32.3248405456543,36.365852355957031","Mafraq Governorate"
"United Kingdom",2022-12-13,3,"56.182998657226562,-3.1679093837738037",Fife
"United Arab Emirates",2022-12-13,4,"25.381301879882812,56.166778564453125",Fujairah
Mexico,2022-12-13,5,"32.525970458984375,-117.10765838623047","Baja California"
Argentina,2022-12-14,1,"-51.6140022277832,-69.214813232421875","Santa Cruz"
Austria,2022-12-14,2,"48.17913818359375,16.473075866699219",Wien
Ukraine,2022-12-14,3,"49.218593597412109,28.569465637207031","Vinnyts'ka oblast"
Tunisia,2022-12-14,4,"36.802982330322266,10.224208831787109",Tunis
Qatar,2022-12-14,5,"25.263612747192383,51.460472106933594","Al Rayyan Municipality"
Singapore,2022-12-15,1,"1.3878834247589111,103.81905364990234",Singapore
"Puerto Rico",2022-12-15,2,"18.400203704833984,-65.968391418457031",Carolina
Spain,2022-12-15,3,"41.970771789550781,-7.330695629119873",Galicia
Lesotho,2022-12-15,4,"-28.899341583251953,28.11553955078125",Leribe
"United Kingdom",2022-12-15,5,"53.448993682861328,-2.0707311630249023","Greater Manchester"
Denmark,2022-12-16,1,"55.175407409667969,10.489933013916016","Region of Southern Denmark"
France,2022-12-16,2,"48.101108551025391,7.2304325103759766","Grand Est"
Australia,2022-12-16,3,"-33.882644653320312,151.17013549804688","New South Wales"
Guatemala,2022-12-16,4,"15.368560791015625,-89.029327392578125",Izabal
Mexico,2022-12-16,5,"20.4461669921875,-102.54547882080078",Jalisco
"United Kingdom",2022-12-17,1,"55.865085601806641,-4.1240067481994629","Glasgow City"
"Puerto Rico",2022-12-17,2,"18.400049209594727,-66.052871704101562","San Juan"
Laos,2022-12-17,3,"19.894481658935547,102.14063262939453","Luang Prabang Province"
Latvia,2022-12-17,4,"57.657955169677734,24.775150299072266","Limbažu novads"
Mexico,2022-12-17,5,"18.947490692138672,-99.208198547363281",Morelos
Lesotho,2022-12-18,1,"-29.361618041992188,29.0697021484375",Mokhotlong
Mongolia,2022-12-18,2,"48.079280853271484,114.51055908203125",Dornod
Argentina,2022-12-18,3,"-53.774055480957031,-67.705551147460938","Tierra del Fuego"
Luxembourg,2022-12-18,4,"49.590137481689453,6.0968327522277832",Luxembourg
Luxembourg,2022-12-18,5,"50.141872406005859,6.0072088241577148",Clervaux
Australia,2022-12-19,1,"-34.924858093261719,138.60240173339844","South Australia"
Italy,2022-12-19,2,"42.169437408447266,12.585176467895508",Lazio
Greece,2022-12-19,3,"39.365932464599609,22.948230743408203",Thessalia
Bangladesh,2022-12-19,4,"23.773574829101562,90.353843688964844","Dhaka Division"
"Dominican Republic",2022-12-19,5,"18.501373291015625,-69.875823974609375","Distrito Nacional"
Italy,2022-12-20,1,"38.701515197753906,16.025352478027344",Calabria
Jordan,2022-12-20,2,"31.868352890014648,35.991584777832031","Amman Governorate"
Argentina,2022-12-20,3,"-26.410768508911133,-61.417678833007812",Chaco
Thailand,2022-12-20,4,"7.96482515335083,98.282119750976562",Phuket
Malaysia,2022-12-20,5,"3.3540611267089844,102.43607330322266",Pahang
"New Zealand",2022-12-21,1,"-36.922710418701172,174.70896911621094",Auckland
India,2022-12-21,2,"28.527524948120117,77.081016540527344",Delhi
Norway,2022-12-21,3,"61.125431060791016,10.465236663818359",Innlandet
Belgium,2022-12-21,4,"50.687313079833984,4.1939430236816406","Région wallonne"
Colombia,2022-12-21,5,"11.513655662536621,-72.962142944335938","La Guajira"
China,2022-12-22,1,"31.001022338867188,104.22077178955078",Sichuan
Taiwan,2022-12-22,2,"23.019166946411133,120.33602905273438","Tainan City"
Brazil,2022-12-22,3,"-6.63704776763916,-46.158721923828125",Maranhão
Slovakia,2022-12-22,4,"48.129390716552734,17.130050659179688","Bratislava Region"
Greece,2022-12-22,5,"37.085945129394531,25.205055236816406","Southern Aegean"
"Sri Lanka",2022-12-23,1,"7.1512765884399414,80.060104370117188","Western Province"
Belgium,2022-12-23,2,"50.881072998046875,4.1361570358276367",Vlaanderen
Slovenia,2022-12-23,3,"45.670326232910156,15.213683128356934",Črnomelj
Canada,2022-12-23,4,"52.466827392578125,-113.72321319580078",Alberta
Guatemala,2022-12-23,5,"15.16815185546875,-90.852874755859375",Quiché
"Dominican Republic",2022-12-24,1,"19.472936630249023,-70.710861206054688",Santiago
Bangladesh,2022-12-24,2,"24.074617385864258,89.062744140625","Rajshahi Division"
Romania,2022-12-24,3,"46.002422332763672,26.137866973876953","Județul Covasna"
Italy,2022-12-24,4,"45.136440277099609,8.4538364410400391",Piemonte
Mongolia,2022-12-24,5,"47.924701690673828,106.91056060791016",Ulaanbaatar
